6,17,Deut,22,Ps,110-111,Isa,49,Rev,19,1 Chr,29,2 Chr,1
6,18,Deut,23,Ps,112-113,Isa,50,Rev,20,2 Chr,2-4,,
6,19,Deut,24,Ps,114-115,Isa,51,Rev,21,2 Chr,5-6,,
6,20,Deut,25,Ps,116,Isa,52,Rev,22,2 Chr,7-8,,
6,21,Deut,26,Ps,117-118,Isa,53,Matt,1,2 Chr,9-10,,
6,22,Deut,27:1-28:19,Ps,119:1-24,Isa,54,Matt,2,2 Chr,11-13,,
6,23,Deut,28:20-68,Ps,119:25-48,Isa,55,Matt,3,2 Chr,14-16,,
6,24,Deut,29,Ps,119:49-72,Isa,56,Matt,4,2 Chr,17-18,,
6,25,Deut,30,Ps,119:73-96,Isa,57,Matt,5,2 Chr,19-21,,
6,26,Deut,31,Ps,119:97-120,Isa,58,Matt,6,2 Chr,22-24,,
6,27,Deut,32,Ps,119:121-144,Isa,59,Matt,7,2 Chr,25-26,,
6,28,Deut,33-34,Ps,119:145-176,Isa,60,Matt,8,2 Chr,27-29,,
6,29,Josh,1,Ps,120-122,Isa,61,Matt,9,2 Chr,30-31,,
6,30,Josh,2,Ps,123-125,Isa,62,Matt,10,2 Chr,32-33,,
7,1,Josh,3,Ps,126-128,Isa,63,Matt,11,2 Chr,34-35,,
7,2,Josh,4,Ps,129-131,Isa,64,Matt,12,2 Chr,36,Ezra,1
7,3,Josh,5,Ps,132-134,Isa,65,Matt,13,Ezra,2-3,,
7,4,Josh,6,Ps,135-136,Isa,66,Matt,14,Ezra,4-5,,
7,5,Josh,7,Ps,137-138,Jer,1,Matt,15,Ezra,6-7,,
7,6,Josh,8,Ps,139,Jer,2,Matt,16,Ezra,8-9,,
7,7,Josh,9,Ps,140-141,Jer,3,Matt,17,Ezra,10,Neh,1
7,8,Josh,10,Ps,142-143,Jer,4,Matt,18,Neh,2-3,,
7,9,Josh,11,Ps,144,Jer,5,Matt,19,Neh,4-5,,
7,10,Josh,12-13,Ps,145,Jer,6,Matt,20,Neh,6-7,,
7,11,Josh,14-15,Ps,146-147,Jer,7,Matt,21,Neh,8-9,,
7,12,Josh,16-17,Ps,148,Jer,8,Matt,22,Neh,10-11,,
7,13,Josh,18-19,Ps,149-150,Jer,9,Matt,23,Neh,12-13,,
7,14,Josh,20-21,Acts,1,Jer,10,Matt,24,Est,1-2,,
7,15,Josh,22,Acts,2,Jer,11,Matt,25,Est,3-4,,
7,16,Josh,23,Acts,3,Jer,12,Matt,26,Est,5-6,,
7,17,Josh,24,Acts,4,Jer,13,Matt,27,Est,7-8,,
7,18,Judg,1,Acts,5,Jer,14,Matt,28,Est,9-10,Job,1
7,19,Judg,2,Acts,6,Jer,15,Mark,1,Job,2-3,,
7,20,Judg,3,Acts,7,Jer,16,Mark,2,Job,4-5,,
